"01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS","","","","","","","","","","","","","","","",""
" ","CIUDAD ","","CENTRO","","Palacio","","Embajadores","","Cortes","","Justicia","","Universidad","","Sol",""
"Desocupada","12.9%","178,377","23.8%","21,747","20.1%","3,014","22.6%","6,527","29.6%","2,311","22.2%","2,592","26.0%","5,802","26.9%","1,501"
"Otro tipo","1.0%","13,998","2.1%","1,871","2.3%","345","1.5%","442","1.6%","127","1.8%","215","2.5%","565","3.2%","177"
"1.9. MEDIO AMBIENTE Y RESIDUOS","","","","","","","","","","","","","","","",""
"1.9.1. Contaminantes del aire (2015)","","","","","","","","","","","","","","","",""
"Partículas suspensión  (µgr/m3)","","21","","","","","","","","","","","","","",""
"Dióxido de azufre - SO2 (µgr/m3)","","7","","","","","","","","","","","","","",""
"Monóxido de carbono - CO (mg/m3)","","0","","","","","","","","","","","","","",""
"Ozono - O3 (µgr/m3)","","51","","","","","","","","","","","","","",""
"Dióxido de nitrógeno - NO2 (µgr/m3)","","41","","","","","","","","","","","","","",""
"Óxidos de nitrógeno - NOX (µgr/m3)","","82","","","","","","","","","","","","","",""
"Benceno - BEN (µgr/m3)","","1","","","","","","","","","","","","","",""
"Hidrocarburos. Metano - CH4 (mg/m3)","","1","","","","","","","","","","","","","",""
"Hidrocarburos totales. Hexano - TCH (mg/m3)","","2","","","","","","","","","","","","","",""
"Cianuro de hidrógeno - HCNM (mg/m3)","","0","","","","","","","","","","","","","",""
"Temperatura (ºC)","","17","","","","","","","","","","","","","",""
"1.9.2. Recogida de Resíduos ","","","","","","","","","","","","","","","",""
"Resíduos Sólidos (2007)","","","","","","","","","","","","","","","",""
"kg/habitante/año (Población calculada a 1 de julio de cada año)","","401.0","","567.00","","","","","","","","","","","",""
"Envases y resto (2015)","","","","","","","","","","","","","","","",""
"kg/habitante/Año (Población calculada a 1 de julio de cada año)","","326.29","","550.82","","","","","","","","","","","",""
"kg/habitante/día (Población calculada a 1 de julio de cada año)","","0.89","","1.51","","","","","","","","","","","",""
"1.10. SEGURIDAD","","","","","","","","","","","","","","","",""
"Total intervenciones de la Policía Municipal en materia de seguridad 2014","100.0%","64,066","","","","","","","","","","","","","",""
"Relacionadas con las personas","15%","9,498","","","","","","","","","","","","","",""
"Agresiones / Reyertas","11%","7,116","","","","","","","","","","","","","",""
"Violencia doméstica","3.48%","2,230","","","","","","","","","","","","","",""
"Malos tratos a menores","0.19%","121","","","","","","","","","","","","","",""
"Mendicidad con menores","0.05%","31","","","","","","","","","","","","","",""
"Relacionadas con amenazas","2.89%","1,849","","","","","","","","","","","","","",""
"Relacionadas con agresiones y abusos sexuales","0.18%","117","","","","","","","","","","","","","",""
"Relacionadas con el patrimonio","15.88%","10,171","","","","","","","","","","","","","",""
"Hurtos","3.36%","2,154","","","","","","","","","","","","","",""
"Robo con fuerza en los inmuebles","1.56%","1,000","","","","","","","","","","","","","",""
"Robo con fuerza en los vehículos","0.98%","626","","","","","","","","","","","","","",""
"Robo con violencia o intimidación","1.04%","667","","","","","","","","","","","","","",""
"Robo / Hurto de uso de vehículos","0.27%","171","","","","","","","","","","","","","",""
"Vehículos recuperados","1.60%","1,023","","","","","","","","","","","","","",""
"Daños","4.16%","2,667","","","","","","","","","","","","","",""
"Contra la propiedad intelectual e industrial","0.74%","473","","","","","","","","","","","","","",""
"Otras contra el patrimonio","2.17%","1,390","","","","","","","","","","","","","",""
"Relacionadas con el derecho de los trabajadores","0.16%","103","","","","","","","","","","","","","",""
"Relacionadas con la salud pública","14.16%","9,074","","","","","","","","","","","","","",""
"Tráfico de drogas","0.24%","156","","","","","","","","","","","","","",""
"Denuncias administrativas por consumo","3.58%","2,296","","","","","","","","","","","","","",""
"Denuncias administrativas por tenencia","10.34%","6,622","","","","","","","","","","","","","",""
"Relacionadas con falsificación de documentos","0.46%","295","","","","","","","","","","","","","",""
"Relacionadas con atentado a agente de la autoridad","0.53%","341","","","","","","","","","","","","","",""
"Relacionadas con resistencia y desobediencia","1.03%","658","","","","","","","","","","","","","",""
"Relacionadas con extranjería  (haya o no detenidos)","4.07%","2,605","","","","","","","","","","","","","",""
"Ley de Seguridad Ciudadana","2.87%","1,840","","","","","","","","","","","","","",""
"Amenazas de bomba","0.01%","6","","","","","","","","","","","","","",""
"Control de localizaciones permanentes (anteriormente arrestos domiciliarios en fin de semana)","42.91%","27,493","","","","","","","","","","","","","",""
"Entradas y registros","0.02%","16","","","","","","","","","","","","","",""
"1.11. RESULTADOS ELECCIONES LOCALES 2015","","","","","","","","","","","","","","","",""
"Censo electoral","100.0%","2,388,047","100.0%","99,235","100.0%","17,550","100.0%","31,942","100.0%","8,203","100.0%","12,523","100.0%","23,579","100.0%","5,438"
"Abstención","31.2%","743,954","34.2%","33,986","31.1%","5,450","35.9%","11,454","34.2%","2,809","33.8%","4,237","33.6%","7,932","38.7%","2,104"
"Votos blancos","0.7%","15,825","0.4%","433","0.5%","89","0.4%","120","0.6%","48","0.5%","65","0.4%","95","0.3%","16"
"Votos a candidaturas","67.7%","1,616,217","65.0%","64,482","68.0%","11,941","63.4%","20,259","64.9%","5,323","65.3%","8,181","65.6%","15,478","60.7%","3,300"
"PP","23.6%","564,154","17.3%","17,208","19.6%","3,432","13.2%","4,225","19.5%","1,600","21.6%","2,700","17.8%","4,190","19.5%","1,061"
"PSOE","10.4%","249,286","7.0%","6,906","7.0%","1,232","7.4%","2,367","6.5%","530","6.3%","784","7.1%","1,669","6.0%","324"
"Ahora Madrid","21.8%","519,721","32.1%","31,900","32.2%","5,651","35.6%","11,385","29.9%","2,450","27.6%","3,462","31.8%","7,505","26.6%","1,447"
"Ciudadanos","7.8%","186,487","5.3%","5,275","5.9%","1,042","3.9%","1,255","6.0%","496","6.6%","831","5.8%","1,356","5.4%","295"
"1.12. SERVICIOS Y EQUIPAMIENTOS MUNICIPALES","","","","","","","","","","","","","","","",""
"1.12.1. Servicios Sociales Municipales (Agosto 2016)","","","","","","","","","","","","","","","",""
"Centros de Servicios Sociales","","39","5.1%","2","","1","","0","","0","","1","","0","","0"
"Centros Municipales de Mayores ","","89","4.5%","4","","1","","1","","0","","1","","1","","0"
"Centros de Día de Alzheimer y Físicos","","99","6.1%","6","","1","","3","","0","","1","","1","","0"
"Apartamentos Municipales para Mayores","","2","50.0%","1","","1","","0","","0","","0","","0","","0"
"Residencias de mayores ","","3","0.0%","0","","0","","0","","0","","0","","0","","0"
"Centros de Atención a la Infancia (CAI)","","11","9.1%","1","","1","","0","","0","","0","","0","","0"
"1.12.2. Cultura (Agosto 2016)","","","","","","","","","","","","","","","",""
"Nº de Bibliotecas Municipales","","31","9.7%","3","","1","","0","","0","","1","","1","","0"
"Nº de Bibliotecas Comunidad Madrid","","16","6.2%","1","","1","","0","","0","","0","","0","","0"
"Nº de Centros Culturales","","114","6.1%","7","","3","","1","","1","","0","","2","","0"
"1.12.3. Deportes ","","","","","","","","","","","","","","","",""
"Centros deportivos Municipales (Agosto 2016)","","69","1.4%","1","","0","","0","","0","","1","","0","","0"
"Gestión directa","","56","0.0%","0","","0","","0","","0","","0","","0","","0"
"Gestión indirecta","","13","7.7%","1","","0","","0","","0","","1","","0","","0"
"Superficie deportiva m2 (2015)","","1,975,059","0.1%","2,239","","0","","0","","0","","2,239","","0","","0"
"Superficie deportiva m2 en cdm gestión directa","","1,866,814","0.0%","0","","0","","0","","0","","0","","0","","0"
"Superficie deportiva m2 en cdm gestión indirecta","","108,245","2.1%","2,239","","0","","0","","0","","2,239","","0","","0"
"Instalaciones deportivas básicas 2015","","471","0.8%","4","","","","","","","","","","","",""
"Acceso controlado","","96","1.0%","1","","","","","","","","","","","",""
"m2 de superficie en idb acceso controlado","","812,492","0.2%","1,862","","","","","","","","","","","",""
"Acceso libre ","","375","0.8%","3","","","","","","","","","","","",""
"m2 de superficie en idb acceso libre","","784,620","0.5%","4,107","","","","","","","","","","","",""
"Campos de fútbol (Agosto 2016)","","20","0.0%","0","","0","","0","","0","","0","","0","","0"
"Pista de atletismo ","","6","0.0%","0","","0","","0","","0","","0","","0","","0"
"Piscinas cubiertas","","46","2.2%","1","","0","","0","","0","","1","","0","","0"
"Piscinas de verano","","23","0.0%","0","","0","","0","","0","","0","","0","","0"
"1.12.4. Zonas verdes (31/12/2014)","","","","","","","","","","","","","","","",""
"Zonas verdes (Ha)","","6,029.84","0.8%","46.90","","","","","","","","","","","",""
